,日期,前收盘价,开盘价,收盘价,最高价,最低价,HO,OL,HCY,CYL,涨跌幅,AR,BR,MA5,MA10,MA20,MA60,MA120,MA250,5日涨跌幅,10日涨跌幅,20日涨跌幅,60日涨跌幅,120日涨跌幅,250日涨跌幅
0,2001-01-02,,,,,,,,,,,,,,,,,,,,,,,,
1,2001-01-03,,,,,,,,,,,,,,,,,,,,,,,,
2,2001-01-04,,,,,,,,,,,,,,,,,,,,,,,,
3,2001-01-05,,,,,,,,,,,,,,,,,,,,,,,,
4,2001-01-08,,,,,,,,,,,,,,,,,,,,,,,,
5,2001-01-09,,,,,,,,,,,,,,,,,,,,,,,,
6,2001-01-10,,,,,,,,,,,,,,,,,,,,,,,,
7,2001-01-11,,,,,,,,,,,,,,,,,,,,,,,,
8,2001-01-12,,,,,,,,,,,,,,,,,,,,,,,,
9,2001-01-15,,,,,,,,,,,,,,,,,,,,,,,,
10,2001-01-16,,,,,,,,,,,,,,,,,,,,,,,,
11,2001-01-17,,,,,,,,,,,,,,,,,,,,,,,,
12,2001-01-18,,,,,,,,,,,,,,,,,,,,,,,,
13,2001-01-19,,,,,,,,,,,,,,,,,,,,,,,,
14,2001-02-05,,,,,,,,,,,,,,,,,,,,,,,,
15,2001-02-06,,,,,,,,,,,,,,,,,,,,,,,,
16,2001-02-07,,,,,,,,,,,,,,,,,,,,,,,,
17,2001-02-08,,,,,,,,,,,,,,,,,,,,,,,,
18,2001-02-09,,,,,,,,,,,,,,,,,,,,,,,,
19,2001-02-12,,,,,,,,,,,,,,,,,,,,,,,,
20,2001-02-13,,,,,,,,,,,,,,,,,,,,,,,,
21,2001-02-14,,,,,,,,,,,,,,,,,,,,,,,,
22,2001-02-15,,,,,,,,,,,,,,,,,,,,,,,,
23,2001-02-16,,,,,,,,,,,,,,,,,,,,,,,,
24,2001-02-19,,,,,,,,,,,,,,,,,,,,,,,,
25,2001-02-20,,,,,,,,,,,,,,,,,,,,,,,,
26,2001-02-21,,,,,,,,,,,,,,,,,,,,,,,,
27,2001-02-22,,,,,,,,,,,,,,,,,,,,,,,,
28,2001-02-23,,,,,,,,,,,,,,,,,,,,,,,,
29,2001-02-26,,,,,,,,,,,,,,,,,,,,,,,,
30,2001-02-27,,,,,,,,,,,,,,,,,,,,,,,,
31,2001-02-28,,,,,,,,,,,,,,,,,,,,,,,,
32,2001-03-01,,,,,,,,,,,,,,,,,,,,,,,,
33,2001-03-02,,,,,,,,,,,,,,,,,,,,,,,,
34,2001-03-05,,,,,,,,,,,,,,,,,,,,,,,,
35,2001-03-06,,,,,,,,,,,,,,,,,,,,,,,,
36,2001-03-07,,,,,,,,,,,,,,,,,,,,,,,,
37,2001-03-08,,,,,,,,,,,,,,,,,,,,,,,,
38,2001-03-09,,,,,,,,,,,,,,,,,,,,,,,,
39,2001-03-12,,,,,,,,,,,,,,,,,,,,,,,,
40,2001-03-13,,,,,,,,,,,,,,,,,,,,,,,,
41,2001-03-14,,,,,,,,,,,,,,,,,,,,,,,,
42,2001-03-15,,,,,,,,,,,,,,,,,,,,,,,,
43,2001-03-16,,,,,,,,,,,,,,,,,,,,,,,,
44,2001-03-19,,,,,,,,,,,,,,,,,,,,,,,,
45,2001-03-20,,,,,,,,,,,,,,,,,,,,,,,,
46,2001-03-21,,,,,,,,,,,,,,,,,,,,,,,,
47,2001-03-22,,,,,,,,,,,,,,,,,,,,,,,,
48,2001-03-23,,,,,,,,,,,,,,,,,,,,,,,,
49,2001-03-26,,,,,,,,,,,,,,,,,,,,,,,,
50,2001-03-27,,,,,,,,,,,,,,,,,,,,,,,,
51,2001-03-28,,,,,,,,,,,,,,,,,,,,,,,,
52,2001-03-29,,,,,,,,,,,,,,,,,,,,,,,,
53,2001-03-30,,,,,,,,,,,,,,,,,,,,,,,,
54,2001-04-02,,,,,,,,,,,,,,,,,,,,,,,,
55,2001-04-03,,,,,,,,,,,,,,,,,,,,,,,,
56,2001-04-04,,,,,,,,,,,,,,,,,,,,,,,,
57,2001-04-05,,,,,,,,,,,,,,,,,,,,,,,,
58,2001-04-06,,,,,,,,,,,,,,,,,,,,,,,,
59,2001-04-09,,,,,,,,,,,,,,,,,,,,,,,,
60,2001-04-10,,,,,,,,,,,,,,,,,,,,,,,,
61,2001-04-11,,,,,,,,,,,,,,,,,,,,,,,,
62,2001-04-12,,,,,,,,,,,,,,,,,,,,,,,,
63,2001-04-13,,,,,,,,,,,,,,,,,,,,,,,,
64,2001-04-16,,,,,,,,,,,,,,,,,,,,,,,,
65,2001-04-17,,,,,,,,,,,,,,,,,,,,,,,,
66,2001-04-18,,,,,,,,,,,,,,,,,,,,,,,,
67,2001-04-19,,,,,,,,,,,,,,,,,,,,,,,,
68,2001-04-20,,,,,,,,,,,,,,,,,,,,,,,,
69,2001-04-23,,,,,,,,,,,,,,,,,,,,,,,,
70,2001-04-24,,,,,,,,,,,,,,,,,,,,,,,,
71,2001-04-25,,,,,,,,,,,,,,,,,,,,,,,,
72,2001-04-26,,,,,,,,,,,,,,,,,,,,,,,,
73,2001-04-27,,,,,,,,,,,,,,,,,,,,,,,,
74,2001-04-30,,,,,,,,,,,,,,,,,,,,,,,,
75,2001-05-08,,,,,,,,,,,,,,,,,,,,,,,,
76,2001-05-09,,,,,,,,,,,,,,,,,,,,,,,,
77,2001-05-10,,,,,,,,,,,,,,,,,,,,,,,,
78,2001-05-11,,,,,,,,,,,,,,,,,,,,,,,,
79,2001-05-14,,,,,,,,,,,,,,,,,,,,,,,,
